År,Region,Effektklass,Solcellsanläggningar, Antal Installerad effekt (MW)
2016,2582 Boden,20 kW - 1 000 kW,0,0
2016,2582 Boden,> 1 000 kW,0,0
2016,2582 Boden,Totalt,2,0.01
2016,2583 Haparanda,< 20 kw,..,..
2016,2583 Haparanda,20 kW - 1 000 kW,0,0
2016,2583 Haparanda,> 1 000 kW,0,0
2016,2583 Haparanda,Totalt,..,..
2016,2584 Kiruna,< 20 kw,..,..
2016,2584 Kiruna,20 kW - 1 000 kW,0,0
2016,2584 Kiruna,> 1 000 kW,0,0
2016,2584 Kiruna,Totalt,..,..
2017,00 Riket,< 20 kw,12885,103.84
2017,00 Riket,20 kW - 1 000 kW,2407,119.38
2017,00 Riket,> 1 000 kW,6,7.76
2017,00 Riket,Totalt,15298,230.99
2017,01 Stockholms län,< 20 kw,1374,10.69
2017,01 Stockholms län,20 kW - 1 000 kW,278,16.54
2017,01 Stockholms län,> 1 000 kW,1,1.08
2017,01 Stockholms län,Totalt,1653,28.31
2017,03 Uppsala län,< 20 kw,723,6.04
2017,03 Uppsala län,20 kW - 1 000 kW,137,6.16
2017,03 Uppsala län,> 1 000 kW,0,0
2017,03 Uppsala län,Totalt,860,12.2
2017,04 Södermanlands län,< 20 kw,513,4.22
2017,04 Södermanlands län,20 kW - 1 000 kW,149,7.31
2017,04 Södermanlands län,> 1 000 kW,2,2.23
2017,04 Södermanlands län,Totalt,664,13.75
2017,05 Östergötlands län,< 20 kw,852,7.45
2017,05 Östergötlands län,20 kW - 1 000 kW,294,12.38
2017,05 Östergötlands län,> 1 000 kW,0,0
2017,05 Östergötlands län,Totalt,1146,19.83
2017,06 Jönköpings län,< 20 kw,642,5.67
2017,06 Jönköpings län,20 kW - 1 000 kW,131,5.9
2017,06 Jönköpings län,> 1 000 kW,0,0
2017,06 Jönköpings län,Totalt,773,11.57
2017,07 Kronobergs län,< 20 kw,410,3.39
2017,07 Kronobergs län,20 kW - 1 000 kW,55,3.39
2017,07 Kronobergs län,> 1 000 kW,0,0
2017,07 Kronobergs län,Totalt,465,6.77
2017,08 Kalmar län,< 20 kw,476,3.79
2017,08 Kalmar län,20 kW - 1 000 kW,68,4.89
2017,08 Kalmar län,> 1 000 kW,0,0
2017,08 Kalmar län,Totalt,544,8.67
2017,09 Gotlands län,< 20 kw,338,2.51
2017,09 Gotlands län,20 kW - 1 000 kW,44,1.3
2017,09 Gotlands län,> 1 000 kW,0,0
2017,09 Gotlands län,Totalt,382,3.82
2017,10 Blekinge län,< 20 kw,267,2.07
2017,10 Blekinge län,20 kW - 1 000 kW,37,2.95
2017,10 Blekinge län,> 1 000 kW,0,0
2017,10 Blekinge län,Totalt,304,5.02
2017,12 Skåne län,< 20 kw,1676,14.06
2017,12 Skåne län,20 kW - 1 000 kW,375,19.56
2017,12 Skåne län,> 1 000 kW,0,0
2017,12 Skåne län,Totalt,2051,33.62
2017,13 Hallands län,< 20 kw,940,7.93
2017,13 Hallands län,20 kW - 1 000 kW,170,8.28
2017,13 Hallands län,> 1 000 kW,1,2.3
2017,13 Hallands län,Totalt,1111,18.5
2017,14 Västra Götalands län,< 20 kw,2117,16.37
2017,14 Västra Götalands län,20 kW - 1 000 kW,299,13.36
2017,14 Västra Götalands län,> 1 000 kW,0,0
2017,14 Västra Götalands län,Totalt,2416,29.73
2017,17 Värmlands län,< 20 kw,396,2.98
2017,17 Värmlands län,20 kW - 1 000 kW,35,2.27
2017,17 Värmlands län,> 1 000 kW,0,0
2017,17 Värmlands län,Totalt,431,5.24
2017,18 Örebro län,< 20 kw,416,3.32
2017,18 Örebro län,20 kW - 1 000 kW,52,2.55
2017,18 Örebro län,> 1 000 kW,0,0
2017,18 Örebro län,Totalt,468,5.87
2017,19 Västmanlands län,< 20 kw,393,2.85
2017,19 Västmanlands län,20 kW - 1 000 kW,133,6.37
2017,19 Västmanlands län,> 1 000 kW,1,1
2017,19 Västmanlands län,Totalt,527,10.22
2017,20 Dalarnas län,< 20 kw,394,2.99
2017,20 Dalarnas län,20 kW - 1 000 kW,21,0.76
2017,20 Dalarnas län,> 1 000 kW,0,0
2017,20 Dalarnas län,Totalt,415,3.75
2017,21 Gävleborgs län,< 20 kw,219,1.67
2017,21 Gävleborgs län,20 kW - 1 000 kW,21,0.89
2017,21 Gävleborgs län,> 1 000 kW,0,0
2017,21 Gävleborgs län,Totalt,240,2.56
2017,22 Västernorrlands län,< 20 kw,229,1.82
2017,22 Västernorrlands län,20 kW - 1 000 kW,25,1.65
2017,22 Västernorrlands län,> 1 000 kW,0,0
2017,22 Västernorrlands län,Totalt,254,3.47
2017,23 Jämtlands län,< 20 kw,325,2.71
2017,23 Jämtlands län,20 kW - 1 000 kW,59,1.57
2017,23 Jämtlands län,> 1 000 kW,0,0
2017,23 Jämtlands län,Totalt,384,4.28
2017,24 Västerbottens län,< 20 kw,120,0.85
2017,24 Västerbottens län,20 kW - 1 000 kW,17,0.86
2017,24 Västerbottens län,> 1 000 kW,0,0
2017,24 Västerbottens län,Totalt,137,1.7
2017,25 Norrbottens län,< 20 kw,65,0.48
2017,25 Norrbottens län,20 kW - 1 000 kW,7,0.47
2017,25 Norrbottens län,> 1 000 kW,1,1.16
2017,25 Norrbottens län,Totalt,73,2.11
2017,0114 Upplands Väsby,< 20 kw,19,0.17
2017,0114 Upplands Väsby,20 kW - 1 000 kW,8,0.5
2017,0114 Upplands Väsby,> 1 000 kW,0,0
2017,0114 Upplands Väsby,Totalt,27,0.67
2017,0115 Vallentuna,< 20 kw,36,0.29
2017,0115 Vallentuna,20 kW - 1 000 kW,8,0.33
2017,0115 Vallentuna,> 1 000 kW,0,0
2017,0115 Vallentuna,Totalt,44,0.62
2017,0117 Österåker,< 20 kw,68,0.49
2017,0117 Österåker,20 kW - 1 000 kW,9,0.36
2017,0117 Österåker,> 1 000 kW,0,0
2017,0117 Österåker,Totalt,77,0.85
2017,0120 Värmdö,< 20 kw,105,0.71
2017,0120 Värmdö,20 kW - 1 000 kW,6,0.21
2017,0120 Värmdö,> 1 000 kW,0,0
2017,0120 Värmdö,Totalt,111,0.92
2017,0123 Järfälla,< 20 kw,76,0.53
2017,0123 Järfälla,20 kW - 1 000 kW,10,0.96
2017,0123 Järfälla,> 1 000 kW,0,0
2017,0123 Järfälla,Totalt,86,1.49
2017,0125 Ekerö,< 20 kw,50,0.4
2017,0125 Ekerö,20 kW - 1 000 kW,10,0.41
2017,0125 Ekerö,> 1 000 kW,0,0
2017,0125 Ekerö,Totalt,60,0.81
2017,0126 Huddinge,< 20 kw,103,0.55
2017,0126 Huddinge,20 kW - 1 000 kW,9,0.7
2017,0126 Huddinge,> 1 000 kW,0,0
2017,0126 Huddinge,Totalt,112,1.25
2017,0127 Botkyrka,< 20 kw,30,0.35
2017,0127 Botkyrka,20 kW - 1 000 kW,0,0
2017,0127 Botkyrka,> 1 000 kW,0,0
2017,0127 Botkyrka,Totalt,30,0.35
2017,0128 Salem,< 20 kw,8,0.05
2017,0128 Salem,20 kW - 1 000 kW,1,0.03
2017,0128 Salem,> 1 000 kW,0,0
2017,0128 Salem,Totalt,9,0.08
2017,0136 Haninge,< 20 kw,68,0.57
2017,0136 Haninge,20 kW - 1 000 kW,8,1.22
2017,0136 Haninge,> 1 000 kW,0,0
2017,0136 Haninge,Totalt,76,1.79
2017,0138 Tyresö,< 20 kw,32,0.26
2017,0138 Tyresö,20 kW - 1 000 kW,1,0.06
2017,0138 Tyresö,> 1 000 kW,0,0
2017,0138 Tyresö,Totalt,33,0.32
2017,0139 Upplands-Bro,< 20 kw,23,0.19
2017,0139 Upplands-Bro,20 kW - 1 000 kW,6,0.27
2017,0139 Upplands-Bro,> 1 000 kW,0,0
2017,0139 Upplands-Bro,Totalt,29,0.47
2017,0140 Nykvarn,< 20 kw,25,0.22
2017,0140 Nykvarn,20 kW - 1 000 kW,1,0.07
2017,0140 Nykvarn,> 1 000 kW,0,0
2017,0140 Nykvarn,Totalt,26,0.29
2017,0160 Täby,< 20 kw,49,0.44
2017,0160 Täby,20 kW - 1 000 kW,11,1.4
2017,0160 Täby,> 1 000 kW,0,0
2017,0160 Täby,Totalt,60,1.84
2017,0162 Danderyd,< 20 kw,21,0.19
2017,0162 Danderyd,20 kW - 1 000 kW,3,0.18
2017,0162 Danderyd,> 1 000 kW,0,0
2017,0162 Danderyd,Totalt,24,0.37
2017,0163 Sollentuna,< 20 kw,79,0.68
2017,0163 Sollentuna,20 kW - 1 000 kW,2,0.1
2017,0163 Sollentuna,> 1 000 kW,0,0
2017,0163 Sollentuna,Totalt,81,0.78
2017,0180 Stockholm,< 20 kw,142,1.27
2017,0180 Stockholm,20 kW - 1 000 kW,114,5.86
2017,0180 Stockholm,> 1 000 kW,0,0
2017,0180 Stockholm,Totalt,256,7.14
2017,0181 Södertälje,< 20 kw,70,0.58
2017,0181 Södertälje,20 kW - 1 000 kW,25,1.71
2017,0181 Södertälje,> 1 000 kW,1,1.08
2017,0181 Södertälje,Totalt,96,3.36
2017,0182 Nacka,< 20 kw,113,0.89
2017,0182 Nacka,20 kW - 1 000 kW,1,0.03
2017,0182 Nacka,> 1 000 kW,0,0
2017,0182 Nacka,Totalt,114,0.92
2017,0183 Sundbyberg,< 20 kw,6,0.05
2017,0183 Sundbyberg,20 kW - 1 000 kW,4,0.21
2017,0183 Sundbyberg,> 1 000 kW,0,0
2017,0183 Sundbyberg,Totalt,10,0.26
2017,0184 Solna,< 20 kw,8,0.07
2017,0184 Solna,20 kW - 1 000 kW,13,0.56
2017,0184 Solna,> 1 000 kW,0,0
2017,0184 Solna,Totalt,21,0.63
2017,0186 Lidingö,< 20 kw,27,0.23
2017,0186 Lidingö,20 kW - 1 000 kW,0,0
2017,0186 Lidingö,> 1 000 kW,0,0
2017,0186 Lidingö,Totalt,27,0.23
2017,0187 Vaxholm,< 20 kw,18,0.12
2017,0187 Vaxholm,20 kW - 1 000 kW,0,0
2017,0187 Vaxholm,> 1 000 kW,0,0
2017,0187 Vaxholm,Totalt,18,0.12
2017,0188 Norrtälje,< 20 kw,121,0.81
2017,0188 Norrtälje,20 kW - 1 000 kW,12,0.68
2017,0188 Norrtälje,> 1 000 kW,0,0
2017,0188 Norrtälje,Totalt,133,1.5
2017,0191 Sigtuna,< 20 kw,28,0.23
2017,0191 Sigtuna,20 kW - 1 000 kW,13,0.6
2017,0191 Sigtuna,> 1 000 kW,0,0
2017,0191 Sigtuna,Totalt,41,0.82
2017,0192 Nynäshamn,< 20 kw,49,0.36
2017,0192 Nynäshamn,20 kW - 1 000 kW,3,0.1
2017,0192 Nynäshamn,> 1 000 kW,0,0
2017,0192 Nynäshamn,Totalt,52,0.46
2017,0305 Håbo,< 20 kw,22,0.19
2017,0305 Håbo,20 kW - 1 000 kW,11,0.53
2017,0305 Håbo,> 1 000 kW,0,0
2017,0305 Håbo,Totalt,33,0.72
2017,0319 Älvkarleby,< 20 kw,9,0.06
2017,0319 Älvkarleby,20 kW - 1 000 kW,0,0
2017,0319 Älvkarleby,> 1 000 kW,0,0
2017,0319 Älvkarleby,Totalt,9,0.06
2017,0330 Knivsta,< 20 kw,49,0.51
2017,0330 Knivsta,20 kW - 1 000 kW,4,0.14
2017,0330 Knivsta,> 1 000 kW,0,0
2017,0330 Knivsta,Totalt,53,0.66
2017,0331 Heby,< 20 kw,36,0.3
2017,0331 Heby,20 kW - 1 000 kW,10,0.65
2017,0331 Heby,> 1 000 kW,0,0
2017,0331 Heby,Totalt,46,0.95
2017,0360 Tierp,< 20 kw,30,0.31
2017,0360 Tierp,20 kW - 1 000 kW,7,0.18
2017,0360 Tierp,> 1 000 kW,0,0
2017,0360 Tierp,Totalt,37,0.5
2017,0380 Uppsala,< 20 kw,444,3.47
2017,0380 Uppsala,20 kW - 1 000 kW,71,3.55
2017,0380 Uppsala,> 1 000 kW,0,0
2017,0380 Uppsala,Totalt,515,7.02
2017,0381 Enköping,< 20 kw,63,0.61
2017,0381 Enköping,20 kW - 1 000 kW,19,0.74
2017,0381 Enköping,> 1 000 kW,0,0
2017,0381 Enköping,Totalt,82,1.35
2017,0382 Östhammar,< 20 kw,70,0.59
2017,0382 Östhammar,20 kW - 1 000 kW,15,0.37
2017,0382 Östhammar,> 1 000 kW,0,0
2017,0382 Östhammar,Totalt,85,0.95
2017,0428 Vingåker,< 20 kw,29,0.24
2017,0428 Vingåker,20 kW - 1 000 kW,2,0.06
2017,0428 Vingåker,> 1 000 kW,0,0
2017,0428 Vingåker,Totalt,31,0.3
2017,0461 Gnesta,< 20 kw,30,0.25
2017,0461 Gnesta,20 kW - 1 000 kW,6,0.23
2017,0461 Gnesta,> 1 000 kW,0,0
2017,0461 Gnesta,Totalt,36,0.48
2017,0480 Nyköping,< 20 kw,88,0.68
2017,0480 Nyköping,20 kW - 1 000 kW,23,1.24
2017,0480 Nyköping,> 1 000 kW,0,0
2017,0480 Nyköping,Totalt,111,1.92
2017,0481 Oxelösund,< 20 kw,7,0.05
2017,0481 Oxelösund,20 kW - 1 000 kW,3,0.09
2017,0481 Oxelösund,> 1 000 kW,0,0
2017,0481 Oxelösund,Totalt,10,0.14
2017,0482 Flen,< 20 kw,39,0.38
2017,0482 Flen,20 kW - 1 000 kW,7,0.28
2017,0482 Flen,> 1 000 kW,0,0
2017,0482 Flen,Totalt,46,0.65
2017,0483 Katrineholm,< 20 kw,77,0.62
2017,0483 Katrineholm,20 kW - 1 000 kW,19,1.34
2017,0483 Katrineholm,> 1 000 kW,1,1.12
2017,0483 Katrineholm,Totalt,97,3.08
2017,0484 Eskilstuna,< 20 kw,146,1.25
2017,0484 Eskilstuna,20 kW - 1 000 kW,54,2.35
2017,0484 Eskilstuna,> 1 000 kW,1,1.11
2017,0484 Eskilstuna,Totalt,201,4.71
2017,0486 Strängnäs,< 20 kw,69,0.59
2017,0486 Strängnäs,20 kW - 1 000 kW,29,1.56
2017,0486 Strängnäs,> 1 000 kW,0,0
2017,0486 Strängnäs,Totalt,98,2.15
2017,0488 Trosa,< 20 kw,28,0.16
2017,0488 Trosa,20 kW - 1 000 kW,6,0.16
2017,0488 Trosa,> 1 000 kW,0,0
2017,0488 Trosa,Totalt,34,0.32
2017,0509 Ödeshög,< 20 kw,26,0.23
2017,0509 Ödeshög,20 kW - 1 000 kW,8,0.28
2017,0509 Ödeshög,> 1 000 kW,0,0
2017,0509 Ödeshög,Totalt,34,0.51
2017,0512 Ydre,< 20 kw,13,0.11
2017,0512 Ydre,20 kW - 1 000 kW,3,0.09
2017,0512 Ydre,> 1 000 kW,0,0
2017,0512 Ydre,Totalt,16,0.2
2017,0513 Kinda,< 20 kw,44,0.38
2017,0513 Kinda,20 kW - 1 000 kW,5,0.17
2017,0513 Kinda,> 1 000 kW,0,0
2017,0513 Kinda,Totalt,49,0.55
2017,0560 Boxholm,< 20 kw,28,0.23
2017,0560 Boxholm,20 kW - 1 000 kW,5,0.24
2017,0560 Boxholm,> 1 000 kW,0,0
2017,0560 Boxholm,Totalt,33,0.47
2017,0561 Åtvidaberg,< 20 kw,19,0.16
2017,0561 Åtvidaberg,20 kW - 1 000 kW,5,0.14
2017,0561 Åtvidaberg,> 1 000 kW,0,0
2017,0561 Åtvidaberg,Totalt,24,0.31
2017,0562 Finspång,< 20 kw,46,0.42
2017,0562 Finspång,20 kW - 1 000 kW,12,0.37
2017,0562 Finspång,> 1 000 kW,0,0
2017,0562 Finspång,Totalt,58,0.79
2017,0563 Valdemarsvik,< 20 kw,30,0.29
2017,0563 Valdemarsvik,20 kW - 1 000 kW,7,0.32
2017,0563 Valdemarsvik,> 1 000 kW,0,0
2017,0563 Valdemarsvik,Totalt,37,0.61
2017,0580 Linköping,< 20 kw,254,2.25
2017,0580 Linköping,20 kW - 1 000 kW,118,5.02
2017,0580 Linköping,> 1 000 kW,0,0
2017,0580 Linköping,Totalt,372,7.27
2017,0581 Norrköping,< 20 kw,136,1.19
2017,0581 Norrköping,20 kW - 1 000 kW,55,2.96
2017,0581 Norrköping,> 1 000 kW,0,0
2017,0581 Norrköping,Totalt,191,4.15
2017,0582 Söderköping,< 20 kw,50,0.43
2017,0582 Söderköping,20 kW - 1 000 kW,9,0.25
2017,0582 Söderköping,> 1 000 kW,0,0
2017,0582 Söderköping,Totalt,59,0.67
2017,0583 Motala,< 20 kw,134,1.11
2017,0583 Motala,20 kW - 1 000 kW,27,0.97
2017,0583 Motala,> 1 000 kW,0,0
2017,0583 Motala,Totalt,161,2.08
2017,0584 Vadstena,< 20 kw,28,0.27
2017,0584 Vadstena,20 kW - 1 000 kW,9,0.41
2017,0584 Vadstena,> 1 000 kW,0,0
2017,0584 Vadstena,Totalt,37,0.67
2017,0586 Mjölby,< 20 kw,44,0.37
2017,0586 Mjölby,20 kW - 1 000 kW,31,1.16
2017,0586 Mjölby,> 1 000 kW,0,0
2017,0586 Mjölby,Totalt,75,1.53
2017,0604 Aneby,< 20 kw,17,0.22
2017,0604 Aneby,20 kW - 1 000 kW,1,0.04
2017,0604 Aneby,> 1 000 kW,0,0
2017,0604 Aneby,Totalt,18,0.26
2017,0617 Gnosjö,< 20 kw,12,0.1
2017,0617 Gnosjö,20 kW - 1 000 kW,4,0.14
2017,0617 Gnosjö,> 1 000 kW,0,0
2017,0617 Gnosjö,Totalt,16,0.25
2017,0642 Mullsjö,< 20 kw,19,0.21
2017,0642 Mullsjö,20 kW - 1 000 kW,3,0.11
2017,0642 Mullsjö,> 1 000 kW,0,0
2017,0642 Mullsjö,Totalt,22,0.32
2017,0643 Habo,< 20 kw,..,..
2017,0643 Habo,20 kW - 1 000 kW,0,0
2017,0643 Habo,> 1 000 kW,0,0
2017,0643 Habo,Totalt,..,..
2017,0662 Gislaved,< 20 kw,73,0.7
2017,0662 Gislaved,20 kW - 1 000 kW,6,0.33
2017,0662 Gislaved,> 1 000 kW,0,0
2017,0662 Gislaved,Totalt,79,1.03
2017,0665 Vaggeryd,< 20 kw,29,0.24
2017,0665 Vaggeryd,20 kW - 1 000 kW,6,0.18
2017,0665 Vaggeryd,> 1 000 kW,0,0
2017,0665 Vaggeryd,Totalt,35,0.42
2017,0680 Jönköping,< 20 kw,131,1.08
2017,0680 Jönköping,20 kW - 1 000 kW,47,2.4
2017,0680 Jönköping,> 1 000 kW,0,0
2017,0680 Jönköping,Totalt,178,3.49
2017,0682 Nässjö,< 20 kw,70,0.61
2017,0682 Nässjö,20 kW - 1 000 kW,10,0.49
2017,0682 Nässjö,> 1 000 kW,0,0
2017,0682 Nässjö,Totalt,80,1.1
2017,0683 Värnamo,< 20 kw,83,0.83
2017,0683 Värnamo,20 kW - 1 000 kW,22,0.97
2017,0683 Värnamo,> 1 000 kW,0,0
2017,0683 Värnamo,Totalt,105,1.79
2017,0684 Sävsjö,< 20 kw,..,..
2017,0684 Sävsjö,20 kW - 1 000 kW,8,0.36
2017,0684 Sävsjö,> 1 000 kW,0,0
2017,0684 Sävsjö,Totalt,..,..
2017,0685 Vetlanda,< 20 kw,83,0.77
2017,0685 Vetlanda,20 kW - 1 000 kW,17,0.59
2017,0685 Vetlanda,> 1 000 kW,0,0
2017,0685 Vetlanda,Totalt,100,1.36
2017,0686 Eksjö,< 20 kw,36,0.36
2017,0686 Eksjö,20 kW - 1 000 kW,4,0.19
2017,0686 Eksjö,> 1 000 kW,0,0
2017,0686 Eksjö,Totalt,40,0.55
2017,0687 Tranås,< 20 kw,39,0.15
2017,0687 Tranås,20 kW - 1 000 kW,3,0.11
2017,0687 Tranås,> 1 000 kW,0,0
2017,0687 Tranås,Totalt,42,0.26
2017,0760 Uppvidinge,< 20 kw,27,0.25
2017,0760 Uppvidinge,20 kW - 1 000 kW,4,0.36
2017,0760 Uppvidinge,> 1 000 kW,0,0
2017,0760 Uppvidinge,Totalt,31,0.61
2017,0761 Lessebo,< 20 kw,8,0.05
2017,0761 Lessebo,20 kW - 1 000 kW,0,0
2017,0761 Lessebo,> 1 000 kW,0,0
2017,0761 Lessebo,Totalt,8,0.05
2017,0763 Tingsryd,< 20 kw,57,0.51
2017,0763 Tingsryd,20 kW - 1 000 kW,5,0.34
2017,0763 Tingsryd,> 1 000 kW,0,0
2017,0763 Tingsryd,Totalt,62,0.85
2017,0764 Alvesta,< 20 kw,45,0.45
2017,0764 Alvesta,20 kW - 1 000 kW,8,0.45
2017,0764 Alvesta,> 1 000 kW,0,0
2017,0764 Alvesta,Totalt,53,0.89
2017,0765 Älmhult,< 20 kw,40,0.35
2017,0765 Älmhult,20 kW - 1 000 kW,5,0.34
2017,0765 Älmhult,> 1 000 kW,0,0
2017,0765 Älmhult,Totalt,45,0.68
2017,0767 Markaryd,< 20 kw,23,0.21
2017,0767 Markaryd,20 kW - 1 000 kW,1,0.02
2017,0767 Markaryd,> 1 000 kW,0,0
2017,0767 Markaryd,Totalt,24,0.23
2017,0780 Växjö,< 20 kw,137,0.96
2017,0780 Växjö,20 kW - 1 000 kW,20,1.09
2017,0780 Växjö,> 1 000 kW,0,0
2017,0780 Växjö,Totalt,157,2.05
2017,0781 Ljungby,< 20 kw,73,0.62
2017,0781 Ljungby,20 kW - 1 000 kW,12,0.8
2017,0781 Ljungby,> 1 000 kW,0,0
2017,0781 Ljungby,Totalt,85,1.41
2017,0821 Högsby,< 20 kw,13,0.1
2017,0821 Högsby,20 kW - 1 000 kW,2,0.06
2017,0821 Högsby,> 1 000 kW,0,0
2017,0821 Högsby,Totalt,15,0.16
2017,0834 Torsås,< 20 kw,18,0.18
2017,0834 Torsås,20 kW - 1 000 kW,2,0.09
2017,0834 Torsås,> 1 000 kW,0,0
2017,0834 Torsås,Totalt,20,0.26
2017,0840 Mörbylånga,< 20 kw,50,0.35
2017,0840 Mörbylånga,20 kW - 1 000 kW,5,0.21
2017,0840 Mörbylånga,> 1 000 kW,0,0
2017,0840 Mörbylånga,Totalt,55,0.56
2017,0860 Hultsfred,< 20 kw,17,0.13
2017,0860 Hultsfred,20 kW - 1 000 kW,3,0.11
2017,0860 Hultsfred,> 1 000 kW,0,0
2017,0860 Hultsfred,Totalt,20,0.24
2017,0861 Mönsterås,< 20 kw,15,0.11
2017,0861 Mönsterås,20 kW - 1 000 kW,8,0.76
2017,0861 Mönsterås,> 1 000 kW,0,0
2017,0861 Mönsterås,Totalt,23,0.86
2017,0862 Emmaboda,< 20 kw,20,0.21
2017,0862 Emmaboda,20 kW - 1 000 kW,2,0.09
2017,0862 Emmaboda,> 1 000 kW,0,0
2017,0862 Emmaboda,Totalt,22,0.29
2017,0880 Kalmar,< 20 kw,92,0.66
2017,0880 Kalmar,20 kW - 1 000 kW,12,1.84
2017,0880 Kalmar,> 1 000 kW,0,0
2017,0880 Kalmar,Totalt,104,2.5
2017,0881 Nybro,< 20 kw,16,0.17
2017,0881 Nybro,20 kW - 1 000 kW,1,0.02
2017,0881 Nybro,> 1 000 kW,0,0
2017,0881 Nybro,Totalt,17,0.19
2017,0882 Oskarshamn,< 20 kw,37,0.31
2017,0882 Oskarshamn,20 kW - 1 000 kW,3,0.07
2017,0882 Oskarshamn,> 1 000 kW,0,0
2017,0882 Oskarshamn,Totalt,40,0.38
2017,0883 Västervik,< 20 kw,101,0.88
2017,0883 Västervik,20 kW - 1 000 kW,18,0.84
2017,0883 Västervik,> 1 000 kW,0,0
2017,0883 Västervik,Totalt,119,1.73
2017,0884 Vimmerby,< 20 kw,30,0.24
2017,0884 Vimmerby,20 kW - 1 000 kW,8,0.53
2017,0884 Vimmerby,> 1 000 kW,0,0
2017,0884 Vimmerby,Totalt,38,0.77
2017,0885 Borgholm,< 20 kw,67,0.46
2017,0885 Borgholm,20 kW - 1 000 kW,4,0.27
2017,0885 Borgholm,> 1 000 kW,0,0
2017,0885 Borgholm,Totalt,71,0.73
2017,0980 Gotland,< 20 kw,338,2.51
2017,0980 Gotland,20 kW - 1 000 kW,44,1.3
2017,0980 Gotland,> 1 000 kW,0,0
2017,0980 Gotland,Totalt,382,3.82
2017,1060 Olofström,< 20 kw,27,0.22
2017,1060 Olofström,20 kW - 1 000 kW,0,0
2017,1060 Olofström,> 1 000 kW,0,0
2017,1060 Olofström,Totalt,27,0.22
2017,1080 Karlskrona,< 20 kw,135,1.02
2017,1080 Karlskrona,20 kW - 1 000 kW,12,1.7
2017,1080 Karlskrona,> 1 000 kW,0,0
2017,1080 Karlskrona,Totalt,147,2.72
2017,1081 Ronneby,< 20 kw,34,0.3
2017,1081 Ronneby,20 kW - 1 000 kW,12,0.52
2017,1081 Ronneby,> 1 000 kW,0,0
2017,1081 Ronneby,Totalt,46,0.82
2017,1082 Karlshamn,< 20 kw,37,0.3
2017,1082 Karlshamn,20 kW - 1 000 kW,9,0.6
2017,1082 Karlshamn,> 1 000 kW,0,0
2017,1082 Karlshamn,Totalt,46,0.89
2017,1083 Sölvesborg,< 20 kw,34,0.23
2017,1083 Sölvesborg,20 kW - 1 000 kW,4,0.14
2017,1083 Sölvesborg,> 1 000 kW,0,0
2017,1083 Sölvesborg,Totalt,38,0.37
2017,1214 Svalöv,< 20 kw,24,0.21
2017,1214 Svalöv,20 kW - 1 000 kW,9,0.43
2017,1214 Svalöv,> 1 000 kW,0,0
2017,1214 Svalöv,Totalt,33,0.64
2017,1230 Staffanstorp,< 20 kw,31,0.35
2017,1230 Staffanstorp,20 kW - 1 000 kW,7,0.24
2017,1230 Staffanstorp,> 1 000 kW,0,0
2017,1230 Staffanstorp,Totalt,38,0.58
2017,1231 Burlöv,< 20 kw,13,0.13
2017,1231 Burlöv,20 kW - 1 000 kW,4,0.25
2017,1231 Burlöv,> 1 000 kW,0,0
2017,1231 Burlöv,Totalt,17,0.38
2017,1233 Vellinge,< 20 kw,53,0.48
2017,1233 Vellinge,20 kW - 1 000 kW,7,0.37
2017,1233 Vellinge,> 1 000 kW,0,0
2017,1233 Vellinge,Totalt,60,0.85
2017,1256 Östra Göinge,< 20 kw,39,0.29
2017,1256 Östra Göinge,20 kW - 1 000 kW,3,0.33
2017,1256 Östra Göinge,> 1 000 kW,0,0
2017,1256 Östra Göinge,Totalt,42,0.62
2017,1257 Örkelljunga,< 20 kw,17,0.1
2017,1257 Örkelljunga,20 kW - 1 000 kW,2,0.08
2017,1257 Örkelljunga,> 1 000 kW,0,0
2017,1257 Örkelljunga,Totalt,19,0.19
2017,1260 Bjuv,< 20 kw,14,0.14
2017,1260 Bjuv,20 kW - 1 000 kW,1,0.02
2017,1260 Bjuv,> 1 000 kW,0,0
2017,1260 Bjuv,Totalt,15,0.16
2017,1261 Kävlinge,< 20 kw,51,0.42
2017,1261 Kävlinge,20 kW - 1 000 kW,8,0.42
2017,1261 Kävlinge,> 1 000 kW,0,0
2017,1261 Kävlinge,Totalt,59,0.83
2017,1262 Lomma,< 20 kw,22,0.14
2017,1262 Lomma,20 kW - 1 000 kW,3,0.11
2017,1262 Lomma,> 1 000 kW,0,0
2017,1262 Lomma,Totalt,25,0.24
2017,1263 Svedala,< 20 kw,12,0.11
2017,1263 Svedala,20 kW - 1 000 kW,9,0.47
2017,1263 Svedala,> 1 000 kW,0,0
2017,1263 Svedala,Totalt,21,0.58
2017,1264 Skurup,< 20 kw,21,0.18
2017,1264 Skurup,20 kW - 1 000 kW,10,0.38
2017,1264 Skurup,> 1 000 kW,0,0
2017,1264 Skurup,Totalt,31,0.56
2017,1265 Sjöbo,< 20 kw,46,0.43
2017,1265 Sjöbo,20 kW - 1 000 kW,9,0.27
2017,1265 Sjöbo,> 1 000 kW,0,0
2017,1265 Sjöbo,Totalt,55,0.7
2017,1266 Hörby,< 20 kw,46,0.37
2017,1266 Hörby,20 kW - 1 000 kW,8,0.27
2017,1266 Hörby,> 1 000 kW,0,0
2017,1266 Hörby,Totalt,54,0.64
2017,1267 Höör,< 20 kw,47,0.38
