År,Region,Effektklass,Solcellsanläggningar, Antal Installerad effekt (MW)
2016,0123 Järfälla,< 20 kw,39,0.26
2016,0123 Järfälla,20 kW - 1 000 kW,6,0.73
2016,0123 Järfälla,> 1 000 kW,0,0
2016,0123 Järfälla,Totalt,45,0.99
2016,0125 Ekerö,< 20 kw,36,0.3
2016,0125 Ekerö,20 kW - 1 000 kW,8,0.32
2016,0125 Ekerö,> 1 000 kW,0,0
2016,0125 Ekerö,Totalt,44,0.62
2016,0126 Huddinge,< 20 kw,56,0.34
2016,0126 Huddinge,20 kW - 1 000 kW,3,0.34
2016,0126 Huddinge,> 1 000 kW,0,0
2016,0126 Huddinge,Totalt,59,0.68
2016,0127 Botkyrka,< 20 kw,17,0.14
2016,0127 Botkyrka,20 kW - 1 000 kW,2,0.06
2016,0127 Botkyrka,> 1 000 kW,0,0
2016,0127 Botkyrka,Totalt,19,0.19
2016,0128 Salem,< 20 kw,8,0.05
2016,0128 Salem,20 kW - 1 000 kW,0,0
2016,0128 Salem,> 1 000 kW,0,0
2016,0128 Salem,Totalt,8,0.05
2016,0136 Haninge,< 20 kw,41,0.24
2016,0136 Haninge,20 kW - 1 000 kW,5,0.91
2016,0136 Haninge,> 1 000 kW,0,0
2016,0136 Haninge,Totalt,46,1.15
2016,0138 Tyresö,< 20 kw,18,0.1
2016,0138 Tyresö,20 kW - 1 000 kW,1,0.06
2016,0138 Tyresö,> 1 000 kW,0,0
2016,0138 Tyresö,Totalt,19,0.16
2016,0139 Upplands-Bro,< 20 kw,16,0.12
2016,0139 Upplands-Bro,20 kW - 1 000 kW,4,0.18
2016,0139 Upplands-Bro,> 1 000 kW,0,0
2016,0139 Upplands-Bro,Totalt,20,0.3
2016,0140 Nykvarn,< 20 kw,15,0.1
2016,0140 Nykvarn,20 kW - 1 000 kW,1,0.07
2016,0140 Nykvarn,> 1 000 kW,0,0
2016,0140 Nykvarn,Totalt,16,0.16
2016,0160 Täby,< 20 kw,..,..
2016,0160 Täby,20 kW - 1 000 kW,9,0.41
2016,0160 Täby,> 1 000 kW,0,0
2016,0160 Täby,Totalt,..,..
2016,0162 Danderyd,< 20 kw,15,0.13
2016,0162 Danderyd,20 kW - 1 000 kW,3,0.18
2016,0162 Danderyd,> 1 000 kW,0,0
2016,0162 Danderyd,Totalt,18,0.3
2016,0163 Sollentuna,< 20 kw,64,0.51
2016,0163 Sollentuna,20 kW - 1 000 kW,0,0
2016,0163 Sollentuna,> 1 000 kW,0,0
2016,0163 Sollentuna,Totalt,64,0.51
2016,0180 Stockholm,< 20 kw,104,0.94
2016,0180 Stockholm,20 kW - 1 000 kW,88,3.5
2016,0180 Stockholm,> 1 000 kW,0,0
2016,0180 Stockholm,Totalt,192,4.43
2016,0181 Södertälje,< 20 kw,43,0.34
2016,0181 Södertälje,20 kW - 1 000 kW,7,0.45
2016,0181 Södertälje,> 1 000 kW,0,0
2016,0181 Södertälje,Totalt,50,0.78
2016,0182 Nacka,< 20 kw,..,..
2016,0182 Nacka,20 kW - 1 000 kW,..,..
2016,0182 Nacka,> 1 000 kW,0,0
2016,0182 Nacka,Totalt,56,0.36
2016,0183 Sundbyberg,< 20 kw,..,..
2016,0183 Sundbyberg,20 kW - 1 000 kW,..,..
2016,0183 Sundbyberg,> 1 000 kW,0,0
2016,0183 Sundbyberg,Totalt,..,..
